ISSN,Journal Title,OA Model,Currency,Price
2352-2151,Agri Gene,Hybrid,USD,1500
2214-9996,Annals of Global Health,Hybrid,USD,1200
2212-6287,Arthroscopy Techniques,Open Access,USD,900
1015-9584,Asian Journal of Surgery,Open Access,USD,0
1029-3132,Asia Pacific Management Review,Hybrid,USD,0
1309-1042,Atmospheric Pollution Research,Hybrid,USD,1500
0104-0014,Brazilian Journal of Anesthesiology (English edition),Open Access,USD,0
1808-8694,Brazilian Journal of Otorhinolaryngology,Open Access,USD,0
2352-2143,Computational Condensed Matter,Hybrid,USD,1e3
1027-8117,Dermatologica Sinica,Open Access,USD,0
1876-6102,Energy Procedia,Hybrid,USD,0
2215-1532,"Environmental Nanotechnology, Monitoring & Management",Hybrid,USD,1950
0019-4832,Indian Heart Journal,Open Access,USD,0
1878-450X,International Journal of Gastronomy and Food Science,Hybrid,USD,3e3
1873-9598,International Journal of Gerontology,Open Access,USD,0
2095-2686,International Journal of Mining Science and Technology,Open Access,USD,0
2237-9363,Journal of Coloproctology,Open Access,USD,0
1991-7902,Journal of Dental Sciences,Open Access,USD,0
1876-0341,Journal of Infection and Public Health,Open Access,USD,0
1684-1182,"Journal of Microbiology, Immunology and Infection",Open Access,USD,0
2210-4917,"Journal of Orthopaedics, Trauma and Rehabilitation",Open Access,USD,0
1726-4901,Journal of the Chinese Medical Association,Open Access,USD,0
0929-6646,Journal of the Formosan Medical Association,Open Access,USD,0
1607-551X,Kaohsiung Journal of Medical Sciences,Open Access,USD,0
1369-7021,Materials Today,Hybrid,USD,3300
2214-5400,Meta Gene,Hybrid,USD,1500
0213-4853,Neurología,Open Access,USD,0
2173-5808,Neurología (English Edition),Open Access,USD,0
1875-9572,Pediatrics & Neonatology,Open Access,USD,0
1876-3804,Petroleum Exploration and Development Online,Open Access,USD,3e3
2352-4073,Plant Gene,Hybrid,USD,1500
0102-695X,Revista Brasileira de Farmacognosia,Open Access,USD,0
2093-7911,Safety and Health at Work,Open Access,USD,0
1028-4559,Taiwanese Journal of Obstetrics & Gynecology,Open Access,USD,0
