issn,journal_name,oa_model,apc,file,year
0001-5814,Acta Haematologica Polonica,Hybrid,3000,Elsevier OA Price List 2017,2017
0003-3995,Annales de genetique,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0007-1226,British Journal of Plastic Surgery,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0009-7411,Cirugía y Cirujanos,Open Access,0,Elsevier OA Price List 2017,2017
0014-5793,FEBS Letters,Hybrid,2200,Elsevier OA Price List 2015,2015
0020-7292,International Journal of Gynecology and Obstetrics,Hybrid,2500,Elsevier OA Price List 2016,2016
0022-0728,Journal of Electroanalytical Chemistry,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0022-1694,Journal of Hydrology,Hybrid,3000,Elsevier OA Price List 2017,2017
0022-1759,Journal of Immunological Methods,Hybrid,3300,Elsevier OA Price List 2017,2017
0022-1910,Journal of Insect Physiology,Hybrid,2600,Elsevier OA Price List 2017,2017
0022-1996,Journal of International Economics,Hybrid,1800,Elsevier OA Price List 2017,2017
0022-2011,Journal of Invertebrate Pathology,Hybrid,3000,Elsevier OA Price List 2017,2017
0022-202X,Journal of Investigative Dermatology,Hybrid,3200,Elsevier OA Price List 2017,2017
0026-3680,Mikrokosmos,Hybrid,3000,Elsevier OA Price List 2015,2015
0030-6657,Otolaryngologia Polska,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0031-3939,Pediatria Polska,Hybrid,3000,Elsevier OA Price List 2017,2017
0033-5894,Quaternary Research,Hybrid,2500,Elsevier OA Price List 2016,2016
0034-5687,Respiration Physiology,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0035-9203,Transactions of the Royal Society of Tropical Medicine and Hygiene,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0038-0296,Sociologie du travail,Hybrid,3000,Elsevier OA Price List 2016,2016
0041-8633,Boletín Mexicano de Derecho Comparado,Open Access,0,Elsevier OA Price List 2017,2017
0044-5169,Der Zoologische Garten,Hybrid,1500,Elsevier OA Price List 2016,2016
0047-2484,Journal of Human Evolution,Hybrid,3000,Elsevier OA Price List 2017,2017
0065-2571,Advances in Enzyme Regulation,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0065-2572,Advances in Enzyme Regulation,Hybrid,3000,Elsevier Hybrid Journals 2007-2010.2010,2010
0079-6786,Progress in Solid State Chemistry,Hybrid,3000,Elsevier OA Price List 2017,2017
0084-3873,Year Book of Medicine,Hybrid,3000,Elsevier OA Price List 2016,2016
0084-392X,Year Book of Ophthalmology,Hybrid,3000,Elsevier OA Price List 2016,2016
0084-3954,Year Book of Pediatrics,Hybrid,3000,Elsevier OA Price List 2016,2016
0090-3019,Surgical Neurology,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0090-3671,Year Book of Surgery,Hybrid,3000,Elsevier OA Price List 2016,2016
0096-0551,Computer Languages,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0097-8485,Computers and Chemistry,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0098-7913,Serials Review,Hybrid,NA,Elsevier Hybrid Journals 2013,2013
0104-1843,Revista Brasileira de Cardiologia Invasiva,Open Access,0,Elsevier OA Price List 2017,2017
0120-0534,Revista Latinoamericana de Psicología,Open Access,0,Elsevier OA Price List 2017,2017
0120-3347,Revista Colombiana de Anestesiología,Open Access,0,Elsevier OA Price List 2017,2017
0120-4483,Ensayos sobre Política Económica,Hybrid,0,Elsevier OA Price List 2016,2016
0120-4912,Pediatría,Open Access,0,Elsevier OA Price List 2016,2016
0121-4381,Suma Psicológica,Open Access,0,Elsevier OA Price List 2017,2017
