issn,journal_name,oa_model,year,File,ISSN-L
0004-5608,Annals of the Association of American Geographers,Hybrid,2016,T&F OA List 2016,0004-5608
0004-8623,Australian Academic & Research Libraries,Closed Access,2016,T&F OA List 2016,0004-8623
0004-9670,The Australian Library Journal,Closed Access,2016,T&F OA List 2016,0004-9670
0020-7594,International Journal of Psychology,Hybrid,2015,T&F OA List 2015,0020-7594
0034-5326,Research into Higher Education Abstracts,Hybrid,2016,T&F OA List 2016,0034-5326
0037-9816,Journal of the Society of Archivists,Hybrid,2013,T&F OA List 2013,0037-9816
0038-0415,Sociology of Education Abstracts,Hybrid,2015,T&F OA List 2015,0038-0415
0041-1450,Journal of Computational and Theoretical Transport,Hybrid,2015,T&F OA List 2015,0041-1450
0075-0778,Irish Geography,Hybrid,2015,T&F OA List 2015,0075-0778
0098-6283,Teaching of Psychology,Hybrid,2012,T&F OA List 2012,0098-6283
0146-0862,Issues in Comprehensive Pediatric Nursing,Hybrid,2016,T&F OA List 2016,0146-0862
0160-3695,NAEA News,Hybrid,2016,T&F OA List 2016,NA
0169-0965,Language and Cognitive Processes,Hybrid,2013,T&F OA List 2013,0169-0965
0196-0075,Library & Archival Security,Hybrid,2015,T&F OA List 2015,0196-0075
0256-0054,Ecquid Novi: African Journalism Studies,Closed Access,2015,T&F OA List 2015,0256-0054
0260-9770,Multicultural Education Abstracts,Hybrid,2015,T&F OA List 2015,0260-9770
0266-3368,Educational Technology Abstracts,Hybrid,2015,T&F OA List 2015,0266-3368
0272-4995,Quarterly Journal of Experimental Psychology,Hybrid,2012,T&F OA List 2012,0272-4995
0303-3910,The Irish Journal of Psychology,Hybrid,2016,T&F OA List 2016,0303-3910
0364-3107,Administration in Social Work,Hybrid,2013,T&F OA List 2013,0364-3107
0371-7453,Applied Earth Science,Hybrid,2017,T&F OA List 2017,0371-7453
0371-9553,Mineral Processing and Extractive Metallurgy,Hybrid,2017,T&F OA List 2017,0371-9553
0449-010X,Jewish Quarterly,Closed Access,2017,T&F OA List 2017,0449-010X
0740-817X,IIE Transactions,Hybrid,2016,T&F OA List 2016,0740-817X
0792-9978,Israel Journal of Plant Sciences,Hybrid,2016,T&F OA List 2016,0792-9978
0843-5243,International Journal of Forest Engineering,Hybrid,2013,T&F OA List 2013,0843-5243
0887-3267,The Humanistic Psychologist,Hybrid,2016,T&F OA List 2016,0887-3267
0890-0523,Journal of Mass Media Ethics,Hybrid,2015,T&F OA List 2015,0890-0523
0908-4282,Applied Neuropsychology,Hybrid,2013,T&F OA List 2013,0908-4282
0954-0822,Special Educational Needs Abstracts,Hybrid,2015,T&F OA List 2015,0954-0822
0960-3107,Applied Financial Economics,Hybrid,2016,T&F OA List 2016,0960-3107
0962-7251,Criminal Justice Matters,Hybrid,2016,T&F OA List 2016,0962-7251
0965-156X,Journal of Contemporary Central and Eastern Europe,Hybrid,2017,T&F OA List 2017,0965-156X
1017-0669,Journal of the Chinese Institute of Industrial Engineering,Hybrid,2012,T&F OA List 2012,1017-0669
1023-8166,Journal of Neutron Research,Hybrid,2012,T&F OA List 2012,1023-8166
1026-7735,Plasma Devices and Operations,Hybrid,2012,T&F OA List 2012,1026-7735
1050-8414,The International Journal of Aviation Psychology,Hybrid,2017,T&F OA List 2017,1050-8414
1055-6796,Astronomical and Astrophysical Transactions,Hybrid,2012,T&F OA List 2012,1055-6796
1058-2452,Journal of Musculoskeletal Pain,Hybrid,2016,T&F OA List 2016,1058-2452
1060-1333,Clinical Research and Regulatory Affairs,Closed Access,2016,T&F OA List 2016,1060-1333
1064-1262,Reviews in Fisheries Science,Hybrid,2013,T&F OA List 2013,1064-1262
1078-9669,HVAC&R Research,Hybrid,2015,T&F OA List 2015,1078-9669
1080-3920,American Foreign Policy Interests,Closed Access,2016,T&F OA List 2016,1080-3920
1087-4208,Journal of Neurotherapy,Hybrid,2015,T&F OA List 2015,1087-4208
1088-7156,The Psychologist-Manager Journal,Hybrid,2013,T&F OA List 2013,1088-7156
1092-9088,Computer Aided Surgery,Open Access,2016,T&F OA List 2016,1092-9088
1125-0003,Italian Journal of Zoology,Hybrid,2016,T&F OA List 2016,1125-0003
1253-8078,Acta Botanica Gallica,Hybrid,2016,T&F OA List 2016,1253-8078
1320-0968,Australian Feminist Law Journal,Hybrid,2017,T&F OA List 2017,1320-0968
1321-5906,Small Enterprise Research,Hybrid,2017,T&F OA List 2017,1321-5906
1353-2944,Modern Italy,Hybrid,2016,T&F OA List 2016,1353-2944
1355-5502,Journal of Victorian Culture,Hybrid,2017,T&F OA List 2017,1355-5502
1360-6719,Managing Leisure,Hybrid,2015,T&F OA List 2015,1360-6719
1392-1630,Town Planning and Architecture,Hybrid,2012,T&F OA List 2012,1392-1630
1461-6718,International Journal of Housing Policy,Hybrid,2016,T&F OA List 2016,1461-6718
1467-582X,Educational Management Abstracts,Hybrid,2015,T&F OA List 2015,1467-582X
1467-5900,Educational Research Abstracts Online,Hybrid,2016,T&F OA List 2016,1467-5900
1467-596X,Studies on Women and Gender Abstracts,Hybrid,2016,T&F OA List 2016,1467-596X
1468-2753,Journal of Media Practice,Hybrid,2017,T&F OA List 2017,1468-2753
1473-3145,Counselling and Psychotherapy Research,Hybrid,2015,T&F OA List 2015,1473-3145
1474-8460,London Review of Education,Hybrid,2015,T&F OA List 2015,1474-8460
1474-9009,Mining Technology,Hybrid,2017,T&F OA List 2017,1474-9009
1477-9633,Journal of Organisational Transformation & Social Change,Hybrid,2017,T&F OA List 2017,1477-9633
1522-8932,Journal of Forensic Psychology Practice,Hybrid,2016,T&F OA List 2016,1522-8932
1522-8967,"Journal of Religion, Disability & Health",Hybrid,2013,T&F OA List 2013,1522-8967
1524-0754,NHSA Dialog,Hybrid,2013,T&F OA List 2013,1524-0754
1533-2586,Journal of Police Crisis Negotiations,Hybrid,2013,T&F OA List 2013,1533-2586
1542-7951,Internet Mathematics,Hybrid,2016,T&F OA List 2016,1542-7951
1543-3714,Journal of Evidence-Based Social Work,Hybrid,2015,T&F OA List 2015,1543-3714
1548-0755,Planning & Environmental Law,Hybrid,2015,T&F OA List 2015,1548-0755
1553-3174,"Synthesis and Reactivity in Inorganic, Metal-Organic, and Nano-Metal Chemistry",Hybrid,2016,T&F OA List 2016,1553-3174
1555-1024,International Journal of Psychoanalytic Self Psychology,Hybrid,2016,T&F OA List 2016,1555-1024
1556-4908,Journal of Muslim Mental Health,Hybrid,2012,T&F OA List 2012,1556-4908
1565-9801,Israel Journal of Ecology & Evolution,Hybrid,2016,T&F OA List 2016,1565-9801
1568-0258,Perspectives on European Politics and Society,Hybrid,2015,T&F OA List 2015,1568-0258
1682-3206,Education as Change,Hybrid,2016,T&F OA List 2016,1682-3206
1740-7141,Journal of Adult Theological Education,Hybrid,2017,T&F OA List 2017,1740-7141
1744-9200,International Journal of Prisoner Health,Hybrid,2012,T&F OA List 2012,1744-9200
1747-0218,The Quarterly Journal of Experimental Psychology,Closed Access,2017,T&F OA List 2017,1747-0218
1748-670,Computational & Mathematical Methods in Medicine,Hybrid,2012,T&F OA List 2012,NA
1748-6831,Journal Of Comparative Social Welfare,Hybrid,2012,T&F OA List 2012,1748-6831
1752-1742,Editors' Bulletin,Hybrid,2016,T&F OA List 2016,1752-1742
1752-3273,Mental Health and Substance Use,Hybrid,2015,T&F OA List 2015,1752-3273
1758-2652,Journal of the International AIDS Society,Open Access,2017,T&F OA List 2017,1758-2652
1812-8602,Transportmetrica,Hybrid,2012,T&F OA List 2012,1812-8602
1822-427X,The Baltic Journal of Road and Bridge Engineering:,Hybrid,2012,T&F OA List 2012,1822-427X
1833-4105,International Journal of Pedagogies and Learning,Hybrid,2016,T&F OA List 2016,1833-4105
1834-0806,International Journal of Multiple Research Approaches,Hybrid,2016,T&F OA List 2016,1834-0806
1837-7122,"Asia-Pacific Journal of Health, Sport and Physical Education",Hybrid,2017,T&F OA List 2017,1837-7122
1875-6883,International Journal of Computational Intelligence Systems,Hybrid,2016,T&F OA List 2016,1875-6883
1931-308X,International Journal of Intelligent Computing in Medical Sciences & Image Processing,Hybrid,2016,T&F OA List 2016,1931-308X
1932-5614,"Journal of Aging, Humanities And The Arts",Hybrid,2012,T&F OA List 2012,1932-5614
1934-6190,Sports Technology,Hybrid,2016,T&F OA List 2016,1934-6190
1936-153X,Journal of Child & Adolescent Trauma,Hybrid,2015,T&F OA List 2015,NA
1936-928X,Journal of Forensic Social Work,Hybrid,2016,T&F OA List 2016,1936-928X
1937-3260,The IES Journal Part A: Civil & Structural Engineering,Hybrid,2016,T&F OA List 2016,1937-3260
1938-1964,Chimerism,Hybrid,2016,T&F OA List 2016,1938-1964
1939-0459,Journal of Natural Resources Policy Research,Hybrid,2016,T&F OA List 2016,1939-0459
1940-1736,Mitochondrial DNA,Hybrid,2016,T&F OA List 2016,1940-1736
1941-5532,Effective Education,Hybrid,2015,T&F OA List 2015,1941-5532
1941-6520,The Academy of Management Annals,Closed Access,2016,T&F OA List 2016,1941-6520
1942-4620,Family Science,Hybrid,2016,T&F OA List 2016,1942-4620
1943-0272,Vocational Education and Training Abstracts,Hybrid,2015,T&F OA List 2015,1943-0272
1943-0892,International Journal of Green Nanotechnology,Hybrid,2013,T&F OA List 2013,1943-0892
1944-3986,Desalination and Water Treatment,Hybrid,2016,T&F OA List 2016,1944-3986
1946-2174,Argument & Computation,Hybrid,2016,T&F OA List 2016,1946-2174
1947-5721,Advances in Oceanography and Limnology,Hybrid,2015,T&F OA List 2015,1947-5721
1948-8300,IIE Transactions on Healthcare Systems Engineering,Hybrid,2016,T&F OA List 2016,1948-8300
1949-095X,Artificial DNA: PNA & XNA,Hybrid,2016,T&F OA List 2016,1949-095X
1949-0992,BioArchitecture,Hybrid,2016,T&F OA List 2016,1949-0992
2029-7475,Creativity Studies,Hybrid,2015,T&F OA List 2015,2029-7475
2043-0779,Greenhouse Gas Measurement and Management,Hybrid,2015,T&F OA List 2015,2043-0779
2049-761X,Cape Town Convention Journal,Open Access,2016,T&F OA List 2016,2049-761X
