issn,journal_name,oa_model,year,File,ISSN-L
0165-2176,Veterinary Quarterly,Open Access,2018,T&F OA List 2018,0165-2176
0270-5060,Journal of Freshwater Ecology,Open Access,2018,T&F OA List 2018,0270-5060
0886-022X,Renal Failure,Open Access,2018,T&F OA List 2018,0886-022X
0954-0105,Food and Agricultural Immunology,Open Access,2018,T&F OA List 2018,0954-0105
0971-2119,Journal of Applied Animal Research,Open Access,2018,T&F OA List 2018,0971-2119
0985-3111,Geodinamica Acta,Open Access,2018,T&F OA List 2018,0985-3111
1009-5020,Geo-spatial Information Science,Open Access,2018,T&F OA List 2018,1009-5020
1071-7544,Drug Delivery,Open Access,2018,T&F OA List 2018,1071-7544
1094-2912,International Journal of Food Properties,Open Access,2018,T&F OA List 2018,1094-2912
1128-7462,Global Bioethics,Open Access,2018,T&F OA List 2018,1128-7462
1177-083X,Kotuitui: New Zealand Journal of Social Sciences Online,Open Access,2018,T&F OA List 2018,1177-083X
1351-0002,Redox Report,Open Access,2018,T&F OA List 2018,1351-0002
1358-314X,Liquid Crystals Today,Open Access,2018,T&F OA List 2018,1358-314X
1381-4788,European Journal of General Practice,Open Access,2018,T&F OA List 2018,1381-4788
1385-772X,Designed Monomers and Polymers,Open Access,2018,T&F OA List 2018,1385-772X
1388-0209,Pharmaceutical Biology,Open Access,2018,T&F OA List 2018,1388-0209
1475-6366,Journal of Enzyme Inhibition and Medicinal Chemistry,Open Access,2018,T&F OA List 2018,1475-6366
1543-5180,Cell Communication & Adhesion,Open Access,2018,T&F OA List 2018,1543-5180
1547-691X,Journal of Immunotoxicology,Open Access,2018,T&F OA List 2018,1547-691X
1559-9612,International Journal of Optomechatronics,Open Access,2018,T&F OA List 2018,1559-9612
1598-0316,Journal of Information Display,Open Access,2018,T&F OA List 2018,1598-0316
1742-9145,Journal of Plant Interactions,Open Access,2018,T&F OA List 2018,1742-9145
1744-5647,Journal of Maps,Open Access,2018,T&F OA List 2018,1744-5647
1745-8080,Journal of Experimental Nanoscience,Open Access,2018,T&F OA List 2018,1745-8080
1751-3758,Journal of Biological Dynamics,Open Access,2018,T&F OA List 2018,1751-3758
1751-7192,Green Chemistry Letters and Reviews,Open Access,2018,T&F OA List 2018,1751-7192
1933-6950,Channels,Open Access,2018,T&F OA List 2018,1933-6950
1943-815X,Journal of Integrative Environmental Sciences,Open Access,2018,T&F OA List 2018,1943-815X
1947-5705,"Geomatics, Natural Hazards and Risk",Open Access,2018,T&F OA List 2018,1947-5705
1947-6337,CyTA - Journal of Food,Open Access,2018,T&F OA List 2018,1947-6337
1949-1042,Nucleus,Open Access,2018,T&F OA List 2018,1949-1042
1976-8354,Animal Cells and Systems,Open Access,2018,T&F OA List 2018,1976-8354
2150-1203,Mycology,Open Access,2018,T&F OA List 2018,2150-1203
2150-5594,Virulence,Open Access,2018,T&F OA List 2018,2150-5594
2151-3732,"International Journal of Biodiversity Science, Ecosystem Services & Management",Open Access,2018,T&F OA List 2018,2151-3732
2155-3769,Frontiers in Life Science,Open Access,2018,T&F OA List 2018,2155-3769
2158-0715,Forest Science and Technology,Open Access,2018,T&F OA List 2018,2158-0715
2165-5979,Bioengineered,Open Access,2018,T&F OA List 2018,2165-5979
